Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q2,Q3,Q4,Q4_11_TEXT,Q5,Q6,Q6_5_TEXT,Q7,Q7A,Q17,Q7B,Q7B_3_TEXT,Q11_1,Q8,Q9,Q9_5_TEXT,Q10,Q12,Q12A,Q13,Q13A,Q20,Q22,Q8 - Topics
6am - 11am,11am - 3pm,3pm - 6pm,6pm - 1am,1am - 6am,Weekend,6am - 11am,11am - 3pm,3pm - 6pm,6pm - 1am,1am - 6am,Weekend,Select any of the following transportation methods you don't recognize/haven't heard of before.,Where do you live?,Where do you spend most of your workday? (Pick multiple if your workplace is split.) - Selected Choice,Other (please specify) - Text,"Think about your commute to work: Are there areas in which you don't feel safe? If so, where?","Given your answer in the previous question, what do you think could improve this? (Mark all that are relative) - Selected Choice",Other (please specify) - Text,Do bike to work?,"Keeping your commute in mind, click on up to five points on the map where you would like more bike racks (in the southern portion of the Yale Campus).","Keeping your commute in mind, click on up to five points on the map where you would like more bike racks (in the northern portion of the Yale Campus).",Why do you not bike to work? - Selected Choice,Other (please specify) - Text,Minutes,Please provide any suggestions for shuttle improvement:,Would you be interested in using CT transit if any of the following were true? - Selected Choice,Other (please specify) - Text,Have you heard of the LiveSafe app?,Have you been a victim of a crime when traveling on/near the Yale university south campus or the medical center?,Where? (Click on up to five points on the map.),Have you been a victim of a crime when traveling on/near the Yale university north campus?,Where? (Click on up to five points on the map.),"While working in a Yale building, have you or your coworkers been the victim of petty theft in said building?",Do you want to be entered into the pool to win a gift card for responding to this survey?,Q8 - Topics
"{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_11_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID8""}","{""ImportId"":""QID20""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_3_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID18""}","{""ImportId"":""QID16""}","{""ImportId"":""QID19""}","{""ImportId"":""QID17""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID9_TEXT_bb48ab87c4754e6fa2908e18Topic0""}"
Walk,Fixed route shuttle,Walk,Walk,Door-to-door shuttle,Walk,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,Downtown,Science Hill,,,,,No,,,"Because the commute is too short/long,Because bikes are expensive",,30,,"I already use CT transit,Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,"Yes, I've heard of it",No,,No,,Yes,Yes,
Uber/taxi,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Uber/taxi,Home to elsewhere,Work to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,,Downtown,Prospect,,"Green, temple street, college parking garage","Shuttle access,Improve lighting,Security presence",,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,15,Arriving on time,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Bike,Walk,Fixed route shuttle,,I don't travel during this time,Door-to-door shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,"CT transit,To-door shuttle (Law/Med)",East Rock,Med campus,,The Med School after ~5pm,"Improve lighting,Security presence",,Yes,,,,,15,,Yale provided graduate students with cheaper/free passes,,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Work to home,Home to work,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),Downtown,Cross campus,,,,,No,,,Don't feel safe biking in traffic,,0,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),Dwight,Cross campus,,Whitney going to stop and shop,Shuttle access,,No,,,"Other (please specify),Because the commute is too short/long",My bike has been broken and I need to get it fixed ,7,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Walk,Home to work,Work to home,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,"York St.,Cross campus",,,Shuttle access,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,24,More orange line busses. They fill up very fast in the morning and then pass stops without picking up once full. ,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Bike,Home to work,Home to work,Home to work,Home to work,Home to work,Home to work,"Fixed route shuttle,Door to door shuttle,To-door shuttle (Law/Med)",,"Science Hill,Hillhouse area",,Near Stop and Shop,Security presence,,Yes,,,,,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Bike,Bike,Bike,Bike,Bike,Bike,Home to work,I don't travel during this time,Work to elsewhere,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),Mansfield/Yale Health area,Hillhouse area,,,"Shuttle access,Improve lighting,Security presence",,Yes,,,,,9,,"I already use CT transit,Yale provided graduate students with cheaper/free passes",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to home,Home to work,I don't travel during this time,Work to home,,Mansfield/Yale Health area,Hillhouse area,,Mansfield,"Shuttle access,Improve lighting,Security presence,Other (please specify)","Please put more Security on Mansfield, it's like being Arnie in Predator at times",No,,,Don't feel safe biking in traffic,,9,More frequent,"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,Unknown
Uber/taxi,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Uber/taxi,Home to work,Work to elsewhere,Work to elsewhere,Work to home,,,,Downtown,Hillhouse area,,,,,No,,,Nowhere to store bike (i.e. bike racks),,5,Increase frequency of Weekend Blue,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,Yes,Yes,Unknown
Bike,Bike,Bike,Bike,Door-to-door shuttle,Bike,Home to work,,,Work to home,,,,East Rock,Hillhouse area,,,,,Yes,,,,,10,,"I already use CT transit,Yale provided graduate students with cheaper/free passes",,No,No,,No,,No,Yes,
Fixed route shuttle,Bike,Bike,Bike,Bike,Fixed route shuttle,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,"CT transit,To-door shuttle (Law/Med)",East Rock,"Hillhouse area,Prospect,Cross campus",,,,,Yes,,,,,5,App should work on older operating systems (IPhone 4),"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Walk,Walk,Home to elsewhere,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,,Mansfield/Yale Health area,"Science Hill,Hillhouse area",,"I do not feel safe in new haven at all, but especially prospect between sachem and edwards","Shuttle access,Security presence",,Yes,,,,,5,better early morning coverage; route that runs in both directions on prospect (not red one way and blue the other),"No, I wouldn't be interested",,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Car,Door-to-door shuttle,Car,Home to work,Work to home,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,,East Rock,Hillhouse area,,The walkway that runs by the som from Whitney to orange,Security presence,,No,,,Don't feel safe biking in traffic,,14,"Faster pick up times, being able to cancel it if plans change ","No, I wouldn't be interested",,No,No,,No,,No,No,Unknown
Walk,Walk,Walk,Walk,Uber/taxi,Uber/taxi,Home to work,Work to elsewhere,Work to elsewhere,Home to work,Home to elsewhere,Home to elsewhere,CT transit,East Rock,Hillhouse area,,dark path beside SOM,"Improve lighting,Security presence,Blue light",,No,,,Don't feel safe biking in traffic,,4,,"No, I wouldn't be interested",,"Yes, I've heard of it",No,,No,,No,Yes,
Fixed route shuttle,Walk,Fixed route shuttle,Door-to-door shuttle,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Prospect Hill,Hillhouse area,,Walking up Prospect st at night up to Whitehall apartments (Corner of Starr),"Shuttle access,Improve lighting,Security presence",,No,,,Due to weather considerations,,15,"Red shuttle in the morning (around 9am) and Blue shuttle in evening (around 5pm) are too crowded so we do not have space to board. Very problematic, as we have to wait in the cold another 20 minutes for next shuttle and even then there is no guarantee we could board. Please increase number of shuttles during peak hours.","No, I wouldn't be interested",,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Fixed route shuttle,Walk,Walk,Car,Car,Car,Home to work,Home to work,Home to work,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,"York St.,Hillhouse area",,It does not feel too safe near NHV green,"Improve lighting,Security presence,Other (please specify)",Less homeless people on the green,No,,,"Nowhere to store bike (i.e. bike racks),Due to weather considerations,Don't feel safe biking in traffic",,,,Yale provided graduate students with cheaper/free passes,,"Yes, I've heard of it",No,,No,,No,No,
Fixed route shuttle,Walk,Walk,Fixed route shuttle,Door-to-door shuttle,,Home to work,Work to elsewhere,Work to elsewhere,Work to home,Work to home,Home to work,To-door shuttle (Law/Med),East Rock,"Hillhouse area,Whitney/Temple (includes SOM),Cross campus",,,,,No,,,"Due to weather considerations,Because bikes are expensive",,20,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Fixed route shuttle,Walk,Walk,Walk,,,Home to work,Work to elsewhere,Home to elsewhere,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,"York St.,Hillhouse area,Prospect",,,,,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,15,Faster door-to-door service,"No, I wouldn't be interested",,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Bike,Bike,Bike,Bike,I don't travel during this time,Bike,Home to work,Work to home,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Hillhouse area,,no,,,Yes,,,,,20,the shuttle stop at Edwards/Orange is ambiguous,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,No,Yes,Unknown
Fixed route shuttle,Walk,I don't travel during this time,Walk,I don't travel during this time,Walk,Home to work,Work to elsewhere,I don't travel during this time,Work to home,I don't travel during this time,Home to elsewhere,"Door to door shuttle,To-door shuttle (Law/Med)",Dwight,Hillhouse area,,400 Block on George St,"Improve lighting,Security presence,Blue light",,No,,,"Nowhere to store bike (i.e. bike racks),Due to weather considerations,Because bikes are expensive",,7,"Stricter leaving time schedules. Hard to estimate when the shuttle will leave. For example, have shuttles start route every 15 minutes.

At my previous university (University of Chicago), shuttle would stop at any street corner given that a cord was pulled. This system worked well and would ensure that people are dropped off close to their work/home.","No, I wouldn't be interested",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Door-to-door shuttle,I don't travel during this time,Walk,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),Downtown,Hillhouse area,,Howe street,Shuttle access,,No,,,Due to weather considerations,,10,New shuttle routes near howe and dwight street would be great,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,I don't travel during this time,I don't travel during this time,Work to elsewhere,I don't travel during this time,Home to elsewhere,,Mansfield/Yale Health area,Hillhouse area,,,,,No,,,Because the commute is too short/long,,10,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Car,Walk,Walk,Walk,Car,Car,Home to work,,Work to elsewhere,Work to home,Work to home,Home to elsewhere,,Hamden,"Science Hill,Hillhouse area,Prospect",,no,Improve lighting,,No,,,Due to weather considerations,,10,,"No, I wouldn't be interested",,"Yes, I have the app but don't use it",No,,No,,No,Yes,
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Door-to-door shuttle,Home to work,Home to work,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,"York St.,Cross campus,Old campus",,"Generally anywhere not on campus at night, although East Rock feels safe. ","Shuttle access,Improve lighting,Security presence",,No,,,"Because the commute is too short/long,Due to weather considerations,Because bikes are expensive",,20,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,
Fixed route shuttle,Fixed route shuttle,Fixed route shuttle,Door-to-door shuttle,Door-to-door shuttle,Uber/taxi,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),East Rock,"York St.,Other (please specify),Hillhouse area,Whitney/Temple (includes SOM),Cross campus,Old campus",Stop and Shop,,,,No,,,"Due to weather considerations,Don't feel safe biking in traffic",,25,Improve app so we can set alerts,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,Unknown
Bike,Bike,Bike,Bike,I don't travel during this time,Bike,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to work,To-door shuttle (Law/Med),East Rock,Med campus,,,Improve lighting,,Yes,,,,,15,,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,
Walk,Walk,Walk,Door-to-door shuttle,Door-to-door shuttle,Car,Home to work,I don't travel during this time,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,To-door shuttle (Law/Med),East Rock,Hillhouse area,,,,,No,,,Because the commute is too short/long,,5,The blue line that runs during the day should go through East Rock instead of Whitney Ave,Yale provided graduate students with cheaper/free passes,,No,No,,No,,No,Yes,Unknown
Bike,Walk,Bike,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,East Rock,Hillhouse area,,Biking on Whitney Ave,"Improve lighting,Other (please specify)",Bike lanes on Whitney Ave,Yes,,,,,3,More orange line shuttles are needed at peak travel times (8:30-930am and 4-6pm),"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,"Yes, I have the app but don't use it",No,,No,,Yes,Yes,Unknown
Other,Other,Other,Other,Door-to-door shuttle,Fixed route shuttle,Work to home,I don't travel during this time,I don't travel during this time,Work to elsewhere,Work to home,Home to elsewhere,To-door shuttle (Law/Med),Mansfield/Yale Health area,Hillhouse area,,Mansfield St. (heard of too many incidents),Other (please specify),"All of the above is present there, but they're not always there, and I still don't always feel safe walking/skateboard/biking in that area.",No,,,"Other (please specify),Because bikes are expensive",I skateboard to work.,12,,"Yale provided graduate students with cheaper/free passes,Yale groups hosted off-campus events that could be reached by CT transit,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Walk,Walk,Fixed route shuttle,Uber/taxi,Uber/taxi,Home to work,I don't travel during this time,Work to home,Work to elsewhere,Prefer not to answer,Home to elsewhere,To-door shuttle (Law/Med),Other,Hillhouse area,,No,Improve lighting,,No,,,Because the commute is too short/long,,5,,"No, I wouldn't be interested",,No,No,,No,,Yes,No,
Walk,Walk,Walk,Bike,Door-to-door shuttle,Bike,Home to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to work,To-door shuttle (Law/Med),Prospect Hill,Hillhouse area,,No lights near cssi library towards hillhouse avenue. Lots of steps which can go unseen,Improve lighting,,Yes,,,,,15,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Walk,Bike,Walk,Walk,Door-to-door shuttle,Other,Home to elsewhere,Work to elsewhere,Work to home,Home to elsewhere,,,To-door shuttle (Law/Med),Downtown,Hillhouse area,,,Other (please specify),Please have the orange line run at noon,Yes,,,,,10,Have the orange line run at noon,Yale provided incentives for using CT transit instead of a car,,No,No,,No,,No,Yes,Unknown
Walk,Walk,Fixed route shuttle,Walk,Fixed route shuttle,Fixed route shuttle,Home to elsewhere,Work to elsewhere,Work to elsewhere,Work to home,Work to home,Work to home,,Downtown,"Hillhouse area,Med campus",,Med campus,Shuttle access,,No,,,Because bikes are expensive,,10,"1. Rider/Trans-Loc routes are inaccurate. I have waited at stations where I waved down the bus driver and he/she said it was not a stop. 

2. some buses on the same route do not stop at the same stops. For example, getting to union station around 9/10 PM is miserable. I will have to take two separate blue line shuttles because they are not taking the same route. 

3. A lot of the bus stops are not marked. I have no idea where to stand to wait for the bus when I take it the first time. The fear of not standing at exactly the right place when bus comes makes me not want to take the bus. Please fix this.",Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
Walk,Walk,Walk,Uber/taxi,Uber/taxi,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,Home to elsewhere,Home to elsewhere,To-door shuttle (Law/Med),Downtown,"Prospect,Med campus",,Church St between frontage rd and Amistad st,"Improve lighting,Security presence",,No,,,"Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic",,8,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Fixed route shuttle,Fixed route shuttle,,,,,Home to work,Home to work,,,,,,Downtown,Hillhouse area,,,,,Yes,,,,,12,,,,No,No,,No,,No,Yes,
Walk,I don't travel during this time,Car,Uber/taxi,Uber/taxi,Door-to-door shuttle,Home to work,I don't travel during this time,Work to elsewhere,Home to elsewhere,Prefer not to answer,Home to elsewhere,To-door shuttle (Law/Med),Wooster Square,"Whitney/Temple (includes SOM),Cross campus",,biking on the road -- everywhere,Other (please specify),drivers who know and obey the rules of the road,Yes,,,,,10,a more concerted effort to *not* pass by designated stops early,"No, I wouldn't be interested",,No,No,,No,,No,Yes,Unknown
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,Work to elsewhere,Work to home,Work to home,I don't travel during this time,Home to elsewhere,,East Rock,Old campus,,no,,,No,,,"Lack of bike paths,Don't feel safe biking in traffic",,6,,I already use CT transit,,No,No,,No,,No,Yes,
Bike,Walk,Bike,Car,I don't travel during this time,Car,Home to work,Work to elsewhere,Work to home,Home to elsewhere,I don't travel during this time,Home to elsewhere,,Wooster Square,Hillhouse area,,,,,Yes,,,,,5,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,No,Yes,
Fixed route shuttle,I don't travel during this time,I don't travel during this time,Door-to-door shuttle,I don't travel during this time,Car,Home to work,I don't travel during this time,I don't travel during this time,Work to home,,,,East Rock,Hillhouse area,,none,"Shuttle access,Improve lighting",,No,,,"Lack of bike paths,Other (please specify),Due to weather considerations",Theft,20,"At times (e.g., 7pm-10pm, which I do not consider being that late), the length of the blue shuttle line causes a gap between buses greater than 30 minutes and I have a tendency to not bother waiting and walk home.","No, I wouldn't be interested",,No,No,,No,,Yes,Yes,Unknown
Car,I don't travel during this time,Car,I don't travel during this time,I don't travel during this time,Car,Home to work,I don't travel during this time,Work to home,I don't travel during this time,I don't travel during this time,Home to elsewhere,CT transit,Other,Hillhouse area,,New Haven,"Shuttle access,Improve lighting,Security presence,Blue light",,No,,,"Because the commute is too short/long,Due to weather considerations,Don't feel safe biking in traffic",,3,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,No,,No,,Yes,Yes,
Fixed route shuttle,I don't travel during this time,Fixed route shuttle,I don't travel during this time,I don't travel during this time,Car,Home to work,I don't travel during this time,Work to home,I don't travel during this time,I don't travel during this time,I don't travel during this time,To-door shuttle (Law/Med),Hamden,Hillhouse area,,,Shuttle access,,Yes,,,,,5,,"Yale provided graduate students with cheaper/free passes,Yale provided incentives for using CT transit instead of a car",,No,Yes,,No,,No,Yes,
Walk,Walk,Walk,Walk,Walk,Walk,Home to work,I don't travel during this time,Work to home,I don't travel during this time,I don't travel during this time,Work to home,To-door shuttle (Law/Med),Other,Hillhouse area,,"yes, the sidewalk besides 17 Hillhouse and Helen Hadley Hall",Improve lighting,,No,,,Because the commute is too short/long,,20,,"No, I wouldn't be interested",,No,No,,No,,No,Yes,
Bike,Walk,Walk,Bike,I don't travel during this time,Bike,Home to work,Work to elsewhere,Work to elsewhere,Work to home,I don't travel during this time,Home to work,,East Rock,Cross campus,,The parking lots on science hill,Blue light,,Yes,,,,,15,To make it easier and faster when calling a shuttle for a group of people going to different places. The flag-stop system often puts extra passengers last on the list and it can take a long time before they reach their homes as new call-ins often take preference.,Yale provided graduate students with cheaper/free passes,,No,No,,No,,Yes,Yes,Unknown
